Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,CC Sabathia,NYY,42.2,179,7.5937,2.9531,2.5714,1.8984,0.2011,0.0782,0.1229,0.283018867,1.3828,0.3051,0.3099,5.393695273,4.656254902,404
2019,Fernando Rodney,2 Tms,22.2,97,7.9412,4.7647,1.6667,1.1912,0.2062,0.1237,0.0825,0.329411764,1.7647,0.4032,0.3073,4.758131664,4.617206509,494
2019,Adam Ottavino,NYY,36,142,11.5,4.75,2.4211,0.25,0.3239,0.1338,0.1901,0.169491525,1.0833,0.2568,0.7071,2.769565032,4.066125488,1247
2019,Oliver Perez,CLE,24.2,101,10.9459,2.9189,3.75,1.0946,0.297,0.0792,0.2178,0.241758241,1.2162,0.322,0.4851,3.45725239,3.730971018,1514
2019,Sean Doolittle,WSN,27,119,11.3333,3,3.7778,1,0.2857,0.0756,0.2101,0.252336448,1.3333,0.338,0.5621,3.362157624,4.717336273,1581
2019,Edwin Jackson,2 Tms,34.1,163,7.6019,2.6214,2.9,2.6214,0.1779,0.0613,0.1166,0.389261744,1.9806,0.4286,0.0357,6.359643597,5.180446279,1841
2019,Zack Greinke,2 Tms,78.1,287,7.2383,1.6085,4.5,1.2638,0.2195,0.0488,0.1707,0.242424242,0.9957,0.2663,0.2396,3.967201285,3.589133915,1943
2019,Ivan Nova,CHW,88,335,4.3977,2.6591,1.6538,1.3295,0.1284,0.0776,0.0507,0.275167785,1.2273,0.2771,0.2345,5.179918566,4.954809943,1994
2019,Clayton Kershaw,LAD,68,247,7.4118,2.1176,3.5,1.1912,0.2267,0.0648,0.1619,0.211711711,0.9265,0.2303,0.3891,4.037538887,3.808855064,2036
2019,Adam Wainwright,STL,77,318,7.7143,3.5065,2.2,0.7013,0.2075,0.0943,0.1132,0.27306273,1.3506,0.3238,0.4232,3.915308177,4.529853249,2233
